polynomial,budget,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
unity-cubic,8,0,0,-1.6,-1.3333333333333335,1.3333333333333335,1.6,100,6.0,0.0,0.0
unity-cubic,8,1,0,-1.3333333333333335,-1.0666666666666669,1.3333333333333335,1.6,100,5.7,0.0,0.0
unity-cubic,8,2,0,-1.0666666666666669,-0.8,1.3333333333333335,1.6,100,5.01,0.0,0.0
unity-cubic,8,3,0,-0.8,-0.5333333333333334,1.3333333333333335,1.6,100,5.0,0.0,0.0
unity-cubic,8,4,0,-0.5333333333333334,-0.26666666666666683,1.3333333333333335,1.6,100,5.0,0.0,0.0
unity-cubic,8,5,0,-0.26666666666666683,0.0,1.3333333333333335,1.6,100,5.55,0.0,0.0
unity-cubic,8,6,0,0.0,0.2666666666666666,1.3333333333333335,1.6,100,6.3,0.0,0.0
unity-cubic,8,7,0,0.2666666666666666,0.5333333333333332,1.3333333333333335,1.6,100,7.6,0.16,0.16
unity-cubic,8,8,0,0.5333333333333332,0.7999999999999998,1.3333333333333335,1.6,100,8.0,1.0,1.0
unity-cubic,8,9,0,0.7999999999999998,1.0666666666666664,1.3333333333333335,1.6,100,7.91,0.69,0.69
unity-cubic,8,10,0,1.0666666666666664,1.333333333333333,1.3333333333333335,1.6,100,8.0,0.95,0.95
unity-cubic,8,11,0,1.333333333333333,1.6,1.3333333333333335,1.6,100,7.98,0.28,0.28
unity-cubic,8,0,1,-1.6,-1.3333333333333335,1.0666666666666669,1.3333333333333335,100,6.0,0.0,0.0
unity-cubic,8,1,1,-1.3333333333333335,-1.0666666666666669,1.0666666666666669,1.3333333333333335,100,5.32,0.0,0.0
unity-cubic,8,2,1,-1.0666666666666669,-0.8,1.0666666666666669,1.3333333333333335,100,5.0,0.0,0.0
unity-cubic,8,3,1,-0.8,-0.5333333333333334,1.0666666666666669,1.3333333333333335,100,4.6,0.0,0.0
unity-cubic,8,4,1,-0.5333333333333334,-0.26666666666666683,1.0666666666666669,1.3333333333333335,100,4.59,0.0,0.0
unity-cubic,8,5,1,-0.26666666666666683,0.0,1.0666666666666669,1.3333333333333335,100,5.1,0.0,0.0
unity-cubic,8,6,1,0.0,0.2666666666666666,1.0666666666666669,1.3333333333333335,100,6.31,0.0,0.0
unity-cubic,8,7,1,0.2666666666666666,0.5333333333333332,1.0666666666666669,1.3333333333333335,100,7.87,0.61,0.61
unity-cubic,8,8,1,0.5333333333333332,0.7999999999999998,1.0666666666666669,1.3333333333333335,100,8.0,0.98,0.98
unity-cubic,8,9,1,0.7999999999999998,1.0666666666666664,1.0666666666666669,1.3333333333333335,100,8.0,0.87,0.87
unity-cubic,8,10,1,1.0666666666666664,1.333333333333333,1.0666666666666669,1.3333333333333335,100,7.7,0.14,0.14
unity-cubic,8,11,1,1.333333333333333,1.6,1.0666666666666669,1.3333333333333335,100,7.13,0.0,0.0
unity-cubic,8,0,2,-1.6,-1.3333333333333335,0.8,1.0666666666666669,100,6.0,0.0,0.0
unity-cubic,8,1,2,-1.3333333333333335,-1.0666666666666669,0.8,1.0666666666666669,100,5.4,0.0,0.0
unity-cubic,8,2,2,-1.0666666666666669,-0.8,0.8,1.0666666666666669,100,4.93,0.0,0.0
unity-cubic,8,3,2,-0.8,-0.5333333333333334,0.8,1.0666666666666669,100,3.92,0.0,0.0
unity-cubic,8,4,2,-0.5333333333333334,-0.26666666666666683,0.8,1.0666666666666669,100,3.77,0.0,0.0
unity-cubic,8,5,2,-0.26666666666666683,0.0,0.8,1.0666666666666669,100,4.97,0.0,0.0
unity-cubic,8,6,2,0.0,0.2666666666666666,0.8,1.0666666666666669,100,6.65,0.01,0.01
