polynomial,low_budget,high_budget,low_grid_late,high_grid_late,low_center_late,high_center_late,low_unresolved_fraction,high_unresolved_fraction,low_inner_band_late,high_inner_band_late,center_retained_fraction,inner_band_retained_fraction
unity-cubic,8,24,0.22541666666666665,0.1663888888888889,0.9299999999999999,0.77,0.22541666666666665,0.002361111111111111,0.9885057471264368,0.8563218390804598,0.8279569892473119,0.8662790697674418
asymmetric-cubic,8,24,0.11125,0.06236111111111111,0.0,0.0,0.11125,0.0,0.2062111801242236,0.12173913043478261,0.0,0.5903614457831325
split-critical-asymmetric-cubic,8,24,0.21916666666666668,0.14770833333333333,0.61,0.3575,0.21916666666666668,0.0006944444444444445,0.6033690658499234,0.35987748851454826,0.5860655737704918,0.5964467005076143
