polynomial,budget,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
asymmetric-cubic,24,0,0,-1.6,-1.3333333333333335,1.3333333333333335,1.6,225,5.004444444444444,0.0,0.0
asymmetric-cubic,24,1,0,-1.3333333333333335,-1.0666666666666669,1.3333333333333335,1.6,225,5.0,0.0,0.0
asymmetric-cubic,24,2,0,-1.0666666666666669,-0.8,1.3333333333333335,1.6,225,4.888888888888889,0.0,0.0
asymmetric-cubic,24,3,0,-0.8,-0.5333333333333334,1.3333333333333335,1.6,225,5.053333333333334,0.0,0.0
asymmetric-cubic,24,4,0,-0.5333333333333334,-0.26666666666666683,1.3333333333333335,1.6,225,6.102222222222222,0.0,0.0
asymmetric-cubic,24,5,0,-0.26666666666666683,0.0,1.3333333333333335,1.6,225,8.973333333333333,0.31555555555555553,0.0
asymmetric-cubic,24,6,0,0.0,0.2666666666666666,1.3333333333333335,1.6,225,8.337777777777777,0.12,0.0
asymmetric-cubic,24,7,0,0.2666666666666666,0.5333333333333332,1.3333333333333335,1.6,225,6.924444444444444,0.0,0.0
asymmetric-cubic,24,8,0,0.5333333333333332,0.7999999999999998,1.3333333333333335,1.6,225,7.0,0.0,0.0
asymmetric-cubic,24,9,0,0.7999999999999998,1.0666666666666664,1.3333333333333335,1.6,225,7.871111111111111,0.008888888888888889,0.0
asymmetric-cubic,24,10,0,1.0666666666666664,1.333333333333333,1.3333333333333335,1.6,225,10.186666666666667,0.5644444444444444,0.0
asymmetric-cubic,24,11,0,1.333333333333333,1.6,1.3333333333333335,1.6,225,9.817777777777778,0.4488888888888889,0.0
asymmetric-cubic,24,0,1,-1.6,-1.3333333333333335,1.0666666666666669,1.3333333333333335,225,5.0,0.0,0.0
asymmetric-cubic,24,1,1,-1.3333333333333335,-1.0666666666666669,1.0666666666666669,1.3333333333333335,225,4.546666666666667,0.0,0.0
asymmetric-cubic,24,2,1,-1.0666666666666669,-0.8,1.0666666666666669,1.3333333333333335,225,3.9066666666666667,0.0,0.0
asymmetric-cubic,24,3,1,-0.8,-0.5333333333333334,1.0666666666666669,1.3333333333333335,225,4.586666666666667,0.0,0.0
asymmetric-cubic,24,4,1,-0.5333333333333334,-0.26666666666666683,1.0666666666666669,1.3333333333333335,225,6.04,0.0,0.0
asymmetric-cubic,24,5,1,-0.26666666666666683,0.0,1.0666666666666669,1.3333333333333335,225,9.333333333333334,0.3377777777777778,0.0
asymmetric-cubic,24,6,1,0.0,0.2666666666666666,1.0666666666666669,1.3333333333333335,225,6.6,0.0,0.0
asymmetric-cubic,24,7,1,0.2666666666666666,0.5333333333333332,1.0666666666666669,1.3333333333333335,225,5.737777777777778,0.0,0.0
asymmetric-cubic,24,8,1,0.5333333333333332,0.7999999999999998,1.0666666666666669,1.3333333333333335,225,7.08,0.0044444444444444444,0.0
asymmetric-cubic,24,9,1,0.7999999999999998,1.0666666666666664,1.0666666666666669,1.3333333333333335,225,9.915555555555555,0.4711111111111111,0.0
asymmetric-cubic,24,10,1,1.0666666666666664,1.333333333333333,1.0666666666666669,1.3333333333333335,225,9.422222222222222,0.3377777777777778,0.0
asymmetric-cubic,24,11,1,1.333333333333333,1.6,1.0666666666666669,1.3333333333333335,225,7.724444444444444,0.0,0.0
asymmetric-cubic,24,0,2,-1.6,-1.3333333333333335,0.8,1.0666666666666669,225,5.142222222222222,0.0,0.0
asymmetric-cubic,24,1,2,-1.3333333333333335,-1.0666666666666669,0.8,1.0666666666666669,225,4.6755555555555555,0.0,0.0
asymmetric-cubic,24,2,2,-1.0666666666666669,-0.8,0.8,1.0666666666666669,225,3.902222222222222,0.0,0.0
asymmetric-cubic,24,3,2,-0.8,-0.5333333333333334,0.8,1.0666666666666669,225,4.7555555555555555,0.0,0.0
asymmetric-cubic,24,4,2,-0.5333333333333334,-0.26666666666666683,0.8,1.0666666666666669,225,7.551111111111111,0.13333333333333333,0.0
asymmetric-cubic,24,5,2,-0.26666666666666683,0.0,0.8,1.0666666666666669,225,8.04888888888889,0.16,0.0
asymmetric-cubic,24,6,2,0.0,0.2666666666666666,0.8,1.0666666666666669,225,6.137777777777778,0.0,0.0
asymmetric-cubic,24,7,2,0.2666666666666666,0.5333333333333332,0.8,1.0666666666666669,225,5.96,0.0,0.0
asymmetric-cubic,24,8,2,0.5333333333333332,0.7999999999999998,0.8,1.0666666666666669,225,7.764444444444444,0.08,0.0
asymmetric-cubic,24,9,2,0.7999999999999998,1.0666666666666664,0.8,1.0666666666666669,225,9.342222222222222,0.3422222222222222,0.0
asymmetric-cubic,24,10,2,1.0666666666666664,1.333333333333333,0.8,1.0666666666666669,225,7.1866666666666665,0.0,0.0
asymmetric-cubic,24,11,2,1.333333333333333,1.6,0.8,1.0666666666666669,225,6.7555555555555555,0.0,0.0
asymmetric-cubic,24,0,3,-1.6,-1.3333333333333335,0.5333333333333334,0.8,225,5.928888888888889,0.0,0.0
asymmetric-cubic,24,1,3,-1.3333333333333335,-1.0666666666666669,0.5333333333333334,0.8,225,5.497777777777777,0.0,0.0
asymmetric-cubic,24,2,3,-1.0666666666666669,-0.8,0.5333333333333334,0.8,225,5.5377777777777775,0.0,0.0
