polynomial,band_index,distance_min,distance_max,sample_count,mean_iterations,late_fraction,dominant_share,share_root_0,share_root_1,share_root_2
unity-cubic,0,0.0,0.28284271247461906,788,12.649746192893401,0.8604060913705583,0.3362944162436548,0.32741116751269034,0.3362944162436548,0.3362944162436548
unity-cubic,1,0.28284271247461906,0.5656854249492381,2356,8.359932088285229,0.21137521222410866,0.3340407470288625,0.33191850594227507,0.3340407470288625,0.3340407470288625
unity-cubic,2,0.5656854249492381,0.8485281374238571,3936,7.7108739837398375,0.22611788617886178,0.33409552845528456,0.3318089430894309,0.33409552845528456,0.33409552845528456
unity-cubic,3,0.8485281374238571,1.1313708498984762,5500,6.401818181818181,0.1210909090909091,0.33454545454545453,0.33454545454545453,0.3327272727272727,0.3327272727272727
unity-cubic,4,1.1313708498984762,1.4142135623730954,7084,6.771033314511575,0.14313946922642576,0.3337097684923772,0.33229813664596275,0.3337097684923772,0.3337097684923772
unity-cubic,5,1.4142135623730954,1.6970562748477143,7852,7.047885888945491,0.1436576668364748,0.3338003056546103,0.3323993886907794,0.3338003056546103,0.3338003056546103
unity-cubic,6,1.6970562748477143,1.9798989873223334,3732,7.134512325830654,0.12165058949624866,0.36763129689174706,0.36763129689174706,0.3161843515541265,0.3161843515541265
unity-cubic,7,1.9798989873223334,2.2627416997969525,1152,7.397569444444445,0.08680555555555555,0.46875,0.46875,0.265625,0.265625
asymmetric-cubic,0,0.0,0.3039102124608154,1819,7.293018141836174,0.11654755360087961,0.5470038482682793,0.2556349642660803,0.19736118746564046,0.5470038482682793
asymmetric-cubic,1,0.3039102124608154,0.6078204249216308,5398,5.7558354946276395,0.04334938866246758,0.5833642089662838,0.2139681363467951,0.20266765468692108,0.5833642089662838
asymmetric-cubic,2,0.6078204249216308,0.9117306373824462,7065,5.881245576786978,0.04642604387827318,0.48435951875442323,0.2646850672328379,0.25095541401273885,0.48435951875442323
asymmetric-cubic,3,0.9117306373824462,1.2156408498432616,7816,6.3633572159672465,0.06051688843398158,0.4824718526100307,0.29388433981576256,0.22364380757420677,0.4824718526100307
asymmetric-cubic,4,1.2156408498432616,1.5195510623040769,5447,6.8755278134753075,0.06168533137506885,0.6711951532953919,0.2702404993574445,0.05856434734716358,0.6711951532953919
asymmetric-cubic,5,1.5195510623040769,1.8234612747648924,3281,7.3505028954587015,0.10515086863761049,0.7256933861627552,0.2727826882048156,0.0015239256324291375,0.7256933861627552
asymmetric-cubic,6,1.8234612747648924,2.127371487225708,1164,6.676975945017182,0.05240549828178694,0.8780068728522337,0.11855670103092783,0.003436426116838488,0.8780068728522337
asymmetric-cubic,7,2.127371487225708,2.431281699686523,410,6.751219512195122,0.0,1.0,0.0,0.0,1.0
