power,budget,threshold,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
3,40,20,0,0,-1.6,-1.3333333333333335,1.3333333333333335,1.6,100,6.0,0.0,0.0
3,40,20,1,0,-1.3333333333333335,-1.0666666666666669,1.3333333333333335,1.6,100,5.7,0.0,0.0
3,40,20,2,0,-1.0666666666666669,-0.8,1.3333333333333335,1.6,100,5.01,0.0,0.0
3,40,20,3,0,-0.8,-0.5333333333333334,1.3333333333333335,1.6,100,5.0,0.0,0.0
3,40,20,4,0,-0.5333333333333334,-0.26666666666666683,1.3333333333333335,1.6,100,5.0,0.0,0.0
3,40,20,5,0,-0.26666666666666683,0.0,1.3333333333333335,1.6,100,5.55,0.0,0.0
3,40,20,6,0,0.0,0.2666666666666666,1.3333333333333335,1.6,100,6.3,0.0,0.0
3,40,20,7,0,0.2666666666666666,0.5333333333333332,1.3333333333333335,1.6,100,7.77,0.0,0.0
3,40,20,8,0,0.5333333333333332,0.7999999999999998,1.3333333333333335,1.6,100,11.69,0.03,0.0
3,40,20,9,0,0.7999999999999998,1.0666666666666664,1.3333333333333335,1.6,100,10.32,0.02,0.0
3,40,20,10,0,1.0666666666666664,1.333333333333333,1.3333333333333335,1.6,100,11.84,0.03,0.0
3,40,20,11,0,1.333333333333333,1.6,1.3333333333333335,1.6,100,8.31,0.0,0.0
3,40,20,0,1,-1.6,-1.3333333333333335,1.0666666666666669,1.3333333333333335,100,6.0,0.0,0.0
3,40,20,1,1,-1.3333333333333335,-1.0666666666666669,1.0666666666666669,1.3333333333333335,100,5.32,0.0,0.0
3,40,20,2,1,-1.0666666666666669,-0.8,1.0666666666666669,1.3333333333333335,100,5.0,0.0,0.0
3,40,20,3,1,-0.8,-0.5333333333333334,1.0666666666666669,1.3333333333333335,100,4.6,0.0,0.0
3,40,20,4,1,-0.5333333333333334,-0.26666666666666683,1.0666666666666669,1.3333333333333335,100,4.59,0.0,0.0
3,40,20,5,1,-0.26666666666666683,0.0,1.0666666666666669,1.3333333333333335,100,5.1,0.0,0.0
3,40,20,6,1,0.0,0.2666666666666666,1.0666666666666669,1.3333333333333335,100,6.31,0.0,0.0
3,40,20,7,1,0.2666666666666666,0.5333333333333332,1.0666666666666669,1.3333333333333335,100,9.96,0.0,0.0
3,40,20,8,1,0.5333333333333332,0.7999999999999998,1.0666666666666669,1.3333333333333335,100,14.42,0.14,0.0
3,40,20,9,1,0.7999999999999998,1.0666666666666664,1.0666666666666669,1.3333333333333335,100,11.01,0.01,0.0
3,40,20,10,1,1.0666666666666664,1.333333333333333,1.0666666666666669,1.3333333333333335,100,7.85,0.0,0.0
3,40,20,11,1,1.333333333333333,1.6,1.0666666666666669,1.3333333333333335,100,7.13,0.0,0.0
3,40,20,0,2,-1.6,-1.3333333333333335,0.8,1.0666666666666669,100,6.0,0.0,0.0
3,40,20,1,2,-1.3333333333333335,-1.0666666666666669,0.8,1.0666666666666669,100,5.4,0.0,0.0
3,40,20,2,2,-1.0666666666666669,-0.8,0.8,1.0666666666666669,100,4.93,0.0,0.0
3,40,20,3,2,-0.8,-0.5333333333333334,0.8,1.0666666666666669,100,3.92,0.0,0.0
3,40,20,4,2,-0.5333333333333334,-0.26666666666666683,0.8,1.0666666666666669,100,3.77,0.0,0.0
3,40,20,5,2,-0.26666666666666683,0.0,0.8,1.0666666666666669,100,4.97,0.0,0.0
3,40,20,6,2,0.0,0.2666666666666666,0.8,1.0666666666666669,100,6.66,0.0,0.0
3,40,20,7,2,0.2666666666666666,0.5333333333333332,0.8,1.0666666666666669,100,9.93,0.02,0.0
3,40,20,8,2,0.5333333333333332,0.7999999999999998,0.8,1.0666666666666669,100,10.05,0.02,0.0
3,40,20,9,2,0.7999999999999998,1.0666666666666664,0.8,1.0666666666666669,100,8.5,0.01,0.0
