polynomial,band_index,distance_min,distance_max,sample_count,mean_iterations,late_fraction,dominant_share,share_root_0,share_root_1,share_root_2
asymmetric-cubic,0,0.0,0.3039102124608154,1819,7.293018141836174,0.11654755360087961,0.5470038482682793,0.2556349642660803,0.19736118746564046,0.5470038482682793
asymmetric-cubic,1,0.3039102124608154,0.6078204249216308,5398,5.7558354946276395,0.04334938866246758,0.5833642089662838,0.2139681363467951,0.20266765468692108,0.5833642089662838
asymmetric-cubic,2,0.6078204249216308,0.9117306373824462,7065,5.881245576786978,0.04642604387827318,0.48435951875442323,0.2646850672328379,0.25095541401273885,0.48435951875442323
asymmetric-cubic,3,0.9117306373824462,1.2156408498432616,7816,6.3633572159672465,0.06051688843398158,0.4824718526100307,0.29388433981576256,0.22364380757420677,0.4824718526100307
asymmetric-cubic,4,1.2156408498432616,1.5195510623040769,5447,6.8755278134753075,0.06168533137506885,0.6711951532953919,0.2702404993574445,0.05856434734716358,0.6711951532953919
asymmetric-cubic,5,1.5195510623040769,1.8234612747648924,3281,7.3505028954587015,0.10515086863761049,0.7256933861627552,0.2727826882048156,0.0015239256324291375,0.7256933861627552
asymmetric-cubic,6,1.8234612747648924,2.127371487225708,1164,6.676975945017182,0.05240549828178694,0.8780068728522337,0.11855670103092783,0.003436426116838488,0.8780068728522337
asymmetric-cubic,7,2.127371487225708,2.431281699686523,410,6.751219512195122,0.0,1.0,0.0,0.0,1.0
split-critical-asymmetric-cubic,0,0.0,0.2757556214171567,1496,9.462566844919786,0.3609625668449198,0.464572192513369,0.464572192513369,0.2586898395721925,0.2767379679144385
split-critical-asymmetric-cubic,1,0.2757556214171567,0.5515112428343134,3326,7.530366806975346,0.17167769092002405,0.4783523752254961,0.4783523752254961,0.2507516536380036,0.2708959711365003
split-critical-asymmetric-cubic,2,0.5515112428343134,0.8272668642514701,4735,6.534530095036959,0.13431890179514255,0.3856388595564942,0.3856388595564942,0.3074973600844773,0.3068637803590285
split-critical-asymmetric-cubic,3,0.8272668642514701,1.1030224856686268,6206,6.376409925878183,0.11698356429262005,0.3783435385111183,0.3783435385111183,0.30534966161778926,0.3163067998710925
split-critical-asymmetric-cubic,4,1.1030224856686268,1.3787781070857834,7557,6.776498610559746,0.13590048961228002,0.3852057694852455,0.3852057694852455,0.30395659653301577,0.3108376339817388
split-critical-asymmetric-cubic,5,1.3787781070857834,1.6545337285029402,5855,7.361400512382579,0.16840307429547396,0.387532023911187,0.387532023911187,0.2964987190435525,0.31596925704526047
split-critical-asymmetric-cubic,6,1.6545337285029402,1.930289349920097,2747,7.388423734983618,0.1117582817619221,0.39825263924281035,0.2908627593738624,0.31088460138332724,0.39825263924281035
split-critical-asymmetric-cubic,7,1.930289349920097,2.2060449713372536,478,6.2112970711297075,0.0,0.606694560669456,0.07322175732217573,0.3200836820083682,0.606694560669456
